"Type","Entries","Year","Value"
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1982",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1982",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1982",248
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1982",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1982",96
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1982",1720
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1982",2315
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1982",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1982",1024
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1982",788
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1982",42
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1982",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1982",303
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1982",1450
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1982",425
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1982",460
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1982",0
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1982",1194
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1982",0
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1982",0
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1982",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1983",3450
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1983",1814
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1983",1998
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1983",4
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1983",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1983",338
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1983",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1983",108
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1983",1892
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1983",2591
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1983",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1983",1361
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1983",1284
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1983",108
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1983",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1983",315
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1983",500
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1983",491
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1983",545
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1983",220
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1983",1256
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1983",278
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1983",58
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1983",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1984",3432
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1984",1975
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1984",2570
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1984",4
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1984",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1984",371
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1984",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1984",93
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1984",2090
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1984",2697
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1984",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1984",1459
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1984",1319
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1984",114
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1984",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1984",350
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1984",930
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1984",581
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1984",593
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1984",220
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1984",1466
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1984",461
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1984",80
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1984",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1985",3920
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1985",1749
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1985",3130
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1985",9
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1985",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1985",340
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1985",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1985",111
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1985",1839
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1985",2518
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1985",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1985",1376
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1985",1234
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1985",107
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1985",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1985",367
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1985",930
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1985",619
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1985",614
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1985",250
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1985",1563
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1985",348
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1985",91
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1985",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1986",3446
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1986",1761
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1986",3072
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1986",10
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1986",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1986",246
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1986",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1986",119
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1986",1141
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1986",2066
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1986",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1986",1410
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1986",992
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1986",60
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1986",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1986",360
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1986",1000
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1986",549
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1986",614
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1986",270
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1986",1922
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1986",402
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1986",78
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1986",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1987",2783
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1987",1812
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1987",1533
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1987",2
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1987",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1987",257
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1987",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1987",81
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1987",1267
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1987",1934
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1987",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1987",1310
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1987",1090
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1987",63
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1987",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1987",342
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1987",2000
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1987",410
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1987",641
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1987",300
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1987",1783
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1987",460
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1987",75
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1987",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1988",3146
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1988",1779
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1988",2208
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1988",3
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1988",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1988",278
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1988",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1988",95
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1988",1395
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1988",2406
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1988",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1988",1536
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1988",1456
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1988",73
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1988",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1988",333
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1988",2000
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1988",499
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1988",680
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1988",500
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1988",2944
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1988",544
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1988",92
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1988",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1989",3402
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1989",2043
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1989",1847
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1989",3
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1989",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1989",421
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1989",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1989",77
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1989",1588
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1989",2899
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1989",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1989",1932
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1989",1912
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1989",94
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1989",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1989",456
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1989",2300
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1989",509
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1989",742
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1989",800
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1989",3146
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1989",1017
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1989",85
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1989",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1990",4497
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1990",2506
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1990",2644
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1990",3
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1990",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1990",645
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1990",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1990",107
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1990",1970
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1990",3420
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1990",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1990",2266
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1990",2442
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1990",121
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1990",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1990",623
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1990",2300
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1990",627
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1990",821
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1990",800
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1990",2398
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1990",1193
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1990",138
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1990",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1991",5352
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1991",2989
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1991",4052
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1991",4
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1991",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1991",720
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1991",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1991",134
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1991",2029
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1991",4107
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1991",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1991",2849
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1991",2763
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1991",134
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1991",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1991",698
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1991",2600
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1991",875
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1991",942
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1991",800
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1991",2238
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1991",603
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1991",164
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1991",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1992",7524
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1992",3441
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1992",3417
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1992",4
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1992",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1992",770
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1992",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1992",247
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1992",1689
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1992",4383
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1992",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1992",3062
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1992",3082
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1992",322
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1992",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1992",831
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1992",3100
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1992",774
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1992",1026
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1992",1000
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1992",3703
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1992",493
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1992",382
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1992",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1993",8551
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1993",4248
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1993",2859
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1993",3
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1993",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1993",1215
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1993",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1993",194
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1993",1464
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1993",4566
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1993",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1993",3713
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1993",3468
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1993",613
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1993",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1993",1006
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1993",3100
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1993",741
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1993",1108
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1993",500
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1993",3825
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1993",517
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1993",0
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1993",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1994",10562
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1994",4567
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1994",2211
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1994",69
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1994",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1994",2515
