"Type","Entries","Year","Value"
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1972",366
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1972",115
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1972",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1972",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1972",85
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1972",0
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1972",23
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1972",194
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1972",0
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1972",475
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1972",38
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1972",0
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1972",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1973",585
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1973",218
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1973",0
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1973",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1973",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1973",48
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1973",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1973",29
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1973",437
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1973",746
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1973",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1973",407
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1973",220
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1973",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1973",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1973",90
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1973",0
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1973",25
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1973",224
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1973",0
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1973",298
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1973",45
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1973",0
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1973",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1974",800
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1974",355
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1974",144
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1974",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1974",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1974",45
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1974",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1974",39
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1974",943
